species,acoustic_index,best_lag,best_lag_r,best_lag_p,station
Silver perch,LEQt,2,0.25559481575923065,4.953305979926728e-66,37M
Oyster toadfish grunt,File,0,0.007796738350898714,0.6065695489119245,37M
Oyster toadfish grunt,Black drum,6,-0.0008155992422033515,0.9570684975479462,37M
Oyster toadfish grunt,Bottlenose dolphin burst pulses,2,-0.007855895902064352,0.6039247108675346,37M
Oyster toadfish grunt,Bottlenose dolphin whistles,5,0.051700812569785384,0.0006375273323645077,37M
Oyster toadfish grunt,ZCR,3,-0.042343435344385685,0.0051572558747598534,37M
Oyster toadfish grunt,MEANt,1,-0.03641927873397553,0.01612881553721206,37M
Oyster toadfish grunt,VARt,5,0.10146065011337736,1.8820877868793137e-11,37M
Oyster toadfish grunt,SKEWt,3,0.0240253794254046,0.11261665182273549,37M
Oyster toadfish grunt,KURTt,3,-0.022762142626600347,0.13281337058061685,37M
Oyster toadfish grunt,LEQt,3,0.04436081044741764,0.0033849102645908,37M
Vessel,File,4,0.030239459015464897,0.045843267067931126,37M
Vessel,Black drum,1,0.018779425117223098,0.2148520071511866,37M
Vessel,Bottlenose dolphin burst pulses,2,-0.043798701751704194,0.003808583358258937,37M
Vessel,Bottlenose dolphin whistles,5,-0.02308864486953742,0.12742976772395823,37M
Vessel,ZCR,0,-0.2139041987339581,2.38672793976469e-46,37M
Vessel,MEANt,6,0.04178765242745261,0.005791671900012477,37M
Vessel,VARt,3,-0.09646222303799813,1.7257143609372205e-10,37M
Vessel,SKEWt,0,0.22044432501830968,3.469636763561043e-49,37M
Vessel,KURTt,0,-0.1905329381220398,5.8326038445291655e-37,37M
Vessel,LEQt,0,0.16698025470881597,1.1601796176282594e-28,37M
Spotted seatrout,File,0,-0.07514831366153658,6.638332935372355e-07,9M
Spotted seatrout,Black drum,6,-0.00640055286658883,0.6726148391086982,9M
Spotted seatrout,Bottlenose dolphin burst pulses,0,-0.019645966020099458,0.1942792631662672,9M
Spotted seatrout,Bottlenose dolphin whistles,1,-0.015813323877064016,0.2961880954431954,9M
Spotted seatrout,ZCR,1,-0.18847534014871387,3.380460007754871e-36,9M
Spotted seatrout,MEANt,1,0.015889965560826738,0.2938530984452649,9M
Spotted seatrout,VARt,0,0.17053724349131982,7.444528471082394e-30,9M
Spotted seatrout,SKEWt,0,0.15056267199150694,1.4650717388337214e-23,9M
Spotted seatrout,KURTt,0,-0.16168360171074053,5.777714814652971e-27,9M
Spotted seatrout,LEQt,0,0.442066134650688,2.177565249358651e-208,9M
Atlantic croaker,File,2,0.035672670701354714,0.018428092874403695,9M
Atlantic croaker,Black drum,0,0.03682535044612669,0.014946667249897256,9M
Atlantic croaker,Bottlenose dolphin burst pulses,0,-0.030280506831741272,0.04540088409689567,9M
Atlantic croaker,Bottlenose dolphin whistles,4,0.038137342108013,0.011759482067275404,9M
Atlantic croaker,ZCR,3,0.05013445747872958,0.0009228584821153109,9M
Atlantic croaker,MEANt,4,0.014132628677541056,0.35067450476442663,9M
Atlantic croaker,VARt,6,0.043835255427851424,0.0037873762598649103,9M
Atlantic croaker,SKEWt,5,0.029009342543750306,0.055391982936646336,9M
Atlantic croaker,KURTt,5,-0.0735503060601683,1.1570335653904466e-06,9M
Atlantic croaker,LEQt,6,0.16725692669188824,9.966217921342059e-29,9M
Oyster toadfish boat whistle,File,3,0.06519724646689132,1.6301832496916186e-05,9M
Oyster toadfish boat whistle,Black drum,1,0.028228728571456713,0.06217145968265632,9M
Oyster toadfish boat whistle,Bottlenose dolphin burst pulses,1,-0.03497561654296201,0.0208282075526069,9M
Oyster toadfish boat whistle,Bottlenose dolphin whistles,3,0.02621718275748185,0.0833227613138635,9M
Oyster toadfish boat whistle,ZCR,6,-0.11952074794748274,2.3936430958698247e-15,9M
Oyster toadfish boat whistle,MEANt,6,0.011956188925817169,0.4298998198938519,9M
Oyster toadfish boat whistle,VARt,3,0.04576774693723849,0.002493225941556071,9M
Oyster toadfish boat whistle,SKEWt,6,0.1329732374443351,1.1659001022492076e-18,9M
Oyster toadfish boat whistle,KURTt,6,-0.14418321017733615,1.0809151641522875e-21,9M
Oyster toadfish boat whistle,LEQt,6,0.21762932138104935,6.5368166799027e-48,9M
Bottlenose dolphin echolocation,File,4,-0.02883545693537017,0.056842633040010825,9M
Bottlenose dolphin echolocation,Black drum,3,-0.004620463526518944,0.760255962413448,9M
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0,0.5763843615986477,0.0,9M
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0,0.20971461770933497,1.340043748526721e-44,9M
Bottlenose dolphin echolocation,ZCR,0,0.02596846462967812,0.08618411579599133,9M
Bottlenose dolphin echolocation,MEANt,5,0.024287605549606198,0.1087443860024225,9M
Bottlenose dolphin echolocation,VARt,5,0.021157157045849462,0.1623866262002225,9M
Bottlenose dolphin echolocation,SKEWt,4,-0.036368369304012514,0.016290265987803906,9M
Bottlenose dolphin echolocation,KURTt,4,0.03597496413448016,0.01748520472830328,9M
Bottlenose dolphin echolocation,LEQt,0,-0.01895130971372352,0.21052663680548814,9M
Red drum,File,6,-0.062325461157952566,3.810736535887319e-05,9M
Red drum,Black drum,5,0.030513177519599463,0.043889163895990735,9M
Red drum,Bottlenose dolphin burst pulses,5,0.048487599198204466,0.0013583826769559852,9M
Red drum,Bottlenose dolphin whistles,5,0.03338800492113228,0.027446503166152762,9M
Red drum,ZCR,4,0.11231622382145916,1.0049439080472178e-13,9M
Red drum,MEANt,3,-0.028165370731068784,0.06282093583409439,9M
Red drum,VARt,0,-0.04914756085138425,0.0011586620614922724,9M
Red drum,SKEWt,4,-0.06059905641604747,6.194296332976758e-05,9M
Red drum,KURTt,4,0.023932644960798288,0.11397029916651971,9M
Red drum,LEQt,0,-0.09254615030933945,8.94642692304126e-10,9M
Silver perch,File,5,0.17524666935925048,2.0100563334454254e-31,9M
Silver perch,Black drum,6,-0.0031349424518566996,0.8360363519637991,9M
Silver perch,Bottlenose dolphin burst pulses,2,-0.019896041480740822,0.18876269768301537,9M
Silver perch,Bottlenose dolphin whistles,6,-0.014944053482439767,0.3238164004377733,9M
Silver perch,ZCR,5,-0.07872669588253738,1.9281904595258453e-07,9M
Silver perch,MEANt,0,-0.012080471488663324,0.42480214933267035,9M
Silver perch,VARt,6,-0.01859785605631602,0.21947817363452,9M
Silver perch,SKEWt,5,0.08770453093290217,6.552589451374936e-09,9M
Silver perch,KURTt,2,-0.06723898143871712,8.743730975005463e-06,9M
Silver perch,LEQt,1,0.06767244502532871,7.628427500604872e-06,9M
Oyster toadfish grunt,File,0,0.07483927754769804,7.3774911019424e-07,9M
Oyster toadfish grunt,Black drum,1,0.0457667295959631,0.0024880717197383927,9M
Oyster toadfish grunt,Bottlenose dolphin burst pulses,5,0.030496152436561695,0.04400712725119108,9M
Oyster toadfish grunt,Bottlenose dolphin whistles,4,0.029585645135032076,0.05069073384548549,9M
Oyster toadfish grunt,ZCR,0,0.03995540995141588,0.008273906370831275,9M
Oyster toadfish grunt,MEANt,3,0.015432873778676876,0.30807328225485914,9M
Oyster toadfish grunt,VARt,5,0.038193179648559616,0.01164634209476167,9M
Oyster toadfish grunt,SKEWt,0,-0.03309871681453621,0.02872465194253734,9M
Oyster toadfish grunt,KURTt,4,-0.04020887691243047,0.007901959837011599,9M
Oyster toadfish grunt,LEQt,3,0.08392157277433185,2.8223309374751126e-08,9M
Vessel,File,6,-0.0036843412353915646,0.807821714909652,9M
Vessel,Black drum,6,0.05748931690333541,0.00014555961549496797,9M
Vessel,Bottlenose dolphin burst pulses,3,0.02814596583256892,0.06300241808140458,9M
Vessel,Bottlenose dolphin whistles,2,0.03005228448665706,0.04710237911153985,9M
Vessel,ZCR,0,-0.0713656940927372,2.3497782867368498e-06,9M
Vessel,MEANt,3,0.016600520962518236,0.27290315128615633,9M
Vessel,VARt,3,-0.025035716709947545,0.09819675465076103,9M
Vessel,SKEWt,0,0.058381357672470525,0.00011328507386145021,9M
Vessel,KURTt,0,-0.0673964534667601,8.28930219594228e-06,9M
Vessel,LEQt,0,0.10638624551487465,1.8105242693715912e-12,9M
