species,acoustic_index,temporal_pearson_r,temporal_pearson_p,temporal_spearman_r,temporal_spearman_p,circadian_r,circadian_p,best_lag,best_lag_r,best_lag_p,max_correlation
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,0.16625708585698715,0.6055607356564106,6.0,-0.0050385601665842335,0.7393753536665479,0.16625708585698715
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,0.16625708585698715,0.6055607356564106,3.0,0.026347149521375977,0.08187440992560438,0.16625708585698715
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,0.16625708585698715,0.6055607356564106,3.0,-0.004620463526518944,0.760255962413448,0.16625708585698715
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,-0.20869712423995537,0.515089897364307,6.0,-0.0050385601665842335,0.7393753536665479,0.20869712423995537
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,-0.20869712423995537,0.515089897364307,3.0,0.026347149521375977,0.08187440992560438,0.20869712423995537
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,-0.20869712423995537,0.515089897364307,3.0,-0.004620463526518944,0.760255962413448,0.20869712423995537
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.6066382606416834,0.03648972451507028,0.0,0.4497019986811298,1.6800979195801076e-216,0.6066382606416834
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.6066382606416834,0.03648972451507028,0.0,0.22252382801017284,4.15441354727433e-50,0.6066382606416834
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.6066382606416834,0.03648972451507028,0.0,0.5763843615986477,0.0,0.6066382606416834
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.3178347123586438,0.31405416875592757,0.0,0.4497019986811298,1.6800979195801076e-216,0.5931675171449767
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.3178347123586438,0.31405416875592757,0.0,0.22252382801017284,4.15441354727433e-50,0.5931675171449767
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.3178347123586438,0.31405416875592757,0.0,0.5763843615986477,0.0,0.5931675171449767
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.6028089861505115,0.03801528606913373,0.0,0.4497019986811298,1.6800979195801076e-216,0.6028089861505115
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.6028089861505115,0.03801528606913373,0.0,0.22252382801017284,4.15441354727433e-50,0.6028089861505115
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.5763843615986477,0.0,0.5931675171449767,0.0,0.6028089861505115,0.03801528606913373,0.0,0.5763843615986477,0.0,0.6028089861505115
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,-0.34023727331077436,0.2791947618970748,0.0,0.09602904014470692,2.0237831672055852e-10,0.34023727331077436
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,-0.34023727331077436,0.2791947618970748,0.0,0.12541681927502024,9.056915097098524e-17,0.34023727331077436
