species,acoustic_index,circadian_r,circadian_p,station
Oyster toadfish boat whistle,AGI,0.216186169712845,0.49976860811113605,14M
Oyster toadfish boat whistle,nROI,0.08553871631892274,0.7915347437548279,14M
Oyster toadfish boat whistle,aROI,0.25042475771580164,0.43242892763281354,14M
Bottlenose dolphin echolocation,File,0.05083231693641832,0.875334825914835,14M
Bottlenose dolphin echolocation,Black drum,0.33130408274656564,0.29281873840063577,14M
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.6066382606416834,0.03648972451507028,14M
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,-0.34023727331077436,0.2791947618970748,14M
Bottlenose dolphin echolocation,ZCR,-0.028446848516342896,0.9300695626203412,14M
Bottlenose dolphin echolocation,MEANt,-0.4033795874920822,0.19350319131106475,14M
Bottlenose dolphin echolocation,VARt,0.34181728233072695,0.2768234959621226,14M
Bottlenose dolphin echolocation,SKEWt,0.23244491257015198,0.46722438774153496,14M
Bottlenose dolphin echolocation,KURTt,0.7987081569013637,0.0018358537918332794,14M
Bottlenose dolphin echolocation,LEQt,-0.36038342441913507,0.2498290801114334,14M
Bottlenose dolphin echolocation,BGNt,-0.29653079226372236,0.34931990170880967,14M
Bottlenose dolphin echolocation,SNRt,-0.03556866374136236,0.9126152264513427,14M
Bottlenose dolphin echolocation,MED,0.16669948609362628,0.6045877863380176,14M
Bottlenose dolphin echolocation,Ht,-0.6200776046367431,0.03148076264370275,14M
Bottlenose dolphin echolocation,ACTtFraction,-0.5308198140601258,0.07578634677983201,14M
Bottlenose dolphin echolocation,ACTtCount,-0.5299186090489889,0.07637809304568527,14M
Bottlenose dolphin echolocation,ACTtMean,0.0386808081241051,0.9049985936475193,14M
Bottlenose dolphin echolocation,EVNtFraction,-0.5241940443532761,0.08021083472783236,14M
Bottlenose dolphin echolocation,EVNtMean,-0.732290210539482,0.0067655645722782135,14M
Bottlenose dolphin echolocation,EVNtCount,-0.23773172500057846,0.4568603511671521,14M
Bottlenose dolphin echolocation,MEANf,-0.346400184019082,0.27001101250940523,14M
Bottlenose dolphin echolocation,VARf,0.2410723069303637,0.4503681630424867,14M
Bottlenose dolphin echolocation,SKEWf,0.2285773518006115,0.47487485158199305,14M
Bottlenose dolphin echolocation,KURTf,0.24153680613796286,0.4494689370697803,14M
Bottlenose dolphin echolocation,NBPEAKS,0.8360913602665359,0.0007027110699967103,14M
Bottlenose dolphin echolocation,LEQf,-0.3242699347360349,0.3038050300517371,14M
Bottlenose dolphin echolocation,ENRf,-0.3242699347079566,0.30380503009604415,14M
Bottlenose dolphin echolocation,BGNf,-0.04490804408792687,0.8897807460182117,14M
Bottlenose dolphin echolocation,SNRf,-0.21638780330840376,0.4993589364265054,14M
Bottlenose dolphin echolocation,Hf,-0.21156124536234786,0.5092063090599221,14M
Bottlenose dolphin echolocation,EAS,0.8348978231843633,0.0007271272911223068,14M
Bottlenose dolphin echolocation,ECU,0.8393093461581347,0.0006400324052260998,14M
Bottlenose dolphin echolocation,ECV,0.8230714695550498,0.0010062016638791114,14M
Bottlenose dolphin echolocation,EPS,-0.7971843080438061,0.0019011707414935603,14M
Bottlenose dolphin echolocation,EPS_KURT,-0.8087375097886522,0.0014477563459596068,14M
Bottlenose dolphin echolocation,EPS_SKEW,-0.7982018424113184,0.0018573622033773514,14M
Bottlenose dolphin echolocation,ACI,0.8502300465524371,0.0004589542387220116,14M
Bottlenose dolphin echolocation,NDSI,-0.20713573177151756,0.5183098091284988,14M
Bottlenose dolphin echolocation,rBA,-0.20713573177123001,0.518309809129093,14M
Bottlenose dolphin echolocation,AnthroEnergy,0.27074032834732165,0.39469452477566025,14M
Bottlenose dolphin echolocation,BioEnergy,-0.7891220706917701,0.002276881633528682,14M
Bottlenose dolphin echolocation,BI,0.11451583239762153,0.7230535033689083,14M
Bottlenose dolphin echolocation,ROU,0.18989513031086772,0.5544320271914862,14M
Bottlenose dolphin echolocation,ADI,-0.2540100305478677,0.42564561269676077,14M
Bottlenose dolphin echolocation,AEI,0.18619836027681474,0.562309368139513,14M
Bottlenose dolphin echolocation,LFC,-0.768195223913238,0.0035178188307967494,14M
Bottlenose dolphin echolocation,MFC,-0.8253088554134016,0.0009479482937006076,14M
Bottlenose dolphin echolocation,HFC,-0.8576725598169324,0.0003604050760535272,14M
Bottlenose dolphin echolocation,ACTspFract,-0.8551590621549559,0.000391634199544415,14M
Bottlenose dolphin echolocation,ACTspCount,-0.854233644007703,0.0004036469636296508,14M
Bottlenose dolphin echolocation,ACTspMean,0.8381329640002152,0.000662421217832608,14M
Bottlenose dolphin echolocation,EVNspFract,-0.8167948265808158,0.0011844319905795373,14M
Bottlenose dolphin echolocation,EVNspMean,-0.7901592760184294,0.002225609726195776,14M
Bottlenose dolphin echolocation,EVNspCount,-0.8097675428679452,0.0014117989437334637,14M
Bottlenose dolphin echolocation,TFSD,0.2753154841016009,0.38643552543220416,14M
Bottlenose dolphin echolocation,H_Havrda,-0.26243683572121485,0.4099101049996986,14M
Bottlenose dolphin echolocation,H_Renyi,-0.18950354825221322,0.5552642833264385,14M
Bottlenose dolphin echolocation,H_pairedShannon,-0.21298226594374897,0.5062982290558392,14M
Bottlenose dolphin echolocation,H_gamma,-0.1420357877621854,0.6596919915294305,14M
Bottlenose dolphin echolocation,H_GiniSimpson,-0.24622133174739214,0.44044820493546166,14M
Bottlenose dolphin echolocation,RAOQ,-0.13763050227692997,0.6697096924408904,14M
Bottlenose dolphin echolocation,AGI,-0.5607688393921173,0.05786436668125763,14M
Bottlenose dolphin echolocation,nROI,-0.7503231511927553,0.004935489530214971,14M
Bottlenose dolphin echolocation,aROI,-0.6311171027337431,0.02775220958568797,14M
Red drum,File,0.640454059137539,0.024856833367398724,14M
Red drum,Black drum,0.3036776479294984,0.33726236849797364,14M
Red drum,Bottlenose dolphin burst pulses,0.1447272729696915,0.6535965373372725,14M
Red drum,Bottlenose dolphin whistles,0.2449128019584763,0.44295913754266514,14M
Red drum,ZCR,0.34164056254492303,0.2770881411378417,14M
Red drum,MEANt,-0.3137483106857888,0.320660234473315,14M
Red drum,VARt,-0.03600756147683411,0.9115406495224577,14M
Red drum,SKEWt,0.4767173473709746,0.11712615703617389,14M
Red drum,KURTt,0.4387043644977986,0.1536686152186118,14M
Red drum,LEQt,-0.3256392084055373,0.30164864304503575,14M
Red drum,BGNt,-0.34998156339129505,0.26475522464666446,14M
Red drum,SNRt,0.2543756368003168,0.4249568372542999,14M
Red drum,MED,-0.11279593454153522,0.7270715629067692,14M
Red drum,Ht,-0.3822987308828971,0.22003793780341147,14M
Red drum,ACTtFraction,-0.0818982750637753,0.8002450692376089,14M
Red drum,ACTtCount,-0.08099767739431793,0.8024031557568552,14M
Red drum,ACTtMean,0.293757301072352,0.3540601450499306,14M
Red drum,EVNtFraction,-0.13061484996146164,0.6857653384627398,14M
Red drum,EVNtMean,-0.5627660430025808,0.0567858957634624,14M
Red drum,EVNtCount,0.1589463163709332,0.6217232579085875,14M
Red drum,MEANf,-0.31432401457906295,0.3197249711876704,14M
Red drum,VARf,-0.04108132332344129,0.8991285810040138,14M
Red drum,SKEWf,-0.059989978610339834,0.853074516436259,14M
Red drum,KURTf,-0.04139034656682593,0.8983732534714473,14M
Red drum,NBPEAKS,0.3019479425759181,0.3401597002027601,14M
Red drum,LEQf,-0.2853321358920981,0.3686673313168214,14M
Red drum,ENRf,-0.28533213582923045,0.3686673314269769,14M
Red drum,BGNf,-0.21014728209195715,0.5121072230537466,14M
Red drum,SNRf,0.11557301814835395,0.7205868603868855,14M
Red drum,Hf,0.06959774976113231,0.8298256542114861,14M
Red drum,EAS,0.29394994909059846,0.35372978718468645,14M
Red drum,ECU,0.3207809739493669,0.30933832936815486,14M
Red drum,ECV,0.30699410902561663,0.33174460103066394,14M
Red drum,EPS,-0.4512204728110011,0.14092480573240376,14M
Red drum,EPS_KURT,-0.3674509323266074,0.23997598099847273,14M
Red drum,EPS_SKEW,-0.37104434323195057,0.2350559153745289,14M
Red drum,ACI,0.5866778495764144,0.04494287680271373,14M
Red drum,NDSI,0.109158222950974,0.7355907720898751,14M
Red drum,rBA,0.10915822295142086,0.7355907720888273,14M
Red drum,AnthroEnergy,-0.025901026761123186,0.9363161726904755,14M
Red drum,BioEnergy,-0.46346062344577504,0.12914177197112953,14M
Red drum,BI,0.3011153466449703,0.34155909640348225,14M
Red drum,ROU,-0.05446293523206135,0.8664987884859507,14M
Red drum,ADI,0.027855952273101878,0.9315191169618167,14M
Red drum,AEI,-0.07533440011554617,0.816002479649924,14M
Red drum,LFC,-0.28370473491914955,0.3715245936592031,14M
Red drum,MFC,-0.320833636548704,0.3092543963676549,14M
Red drum,HFC,-0.35957186678513003,0.2509754574470172,14M
Red drum,ACTspFract,-0.3528650226300317,0.260567046193277,14M
Red drum,ACTspCount,-0.35143363934176053,0.26264126588219006,14M
Red drum,ACTspMean,0.4133651796787645,0.18165801188235192,14M
Red drum,EVNspFract,-0.3475798701072607,0.2682731965626143,14M
Red drum,EVNspMean,-0.4469010957826379,0.14524282525729032,14M
Red drum,EVNspCount,-0.27579787373752945,0.38556992945395296,14M
Red drum,TFSD,-0.12775392837145716,0.6923475182780146,14M
Red drum,H_Havrda,-0.02025216920139119,0.9501879227849435,14M
Red drum,H_Renyi,0.09766287436285921,0.7626881752735676,14M
Red drum,H_pairedShannon,0.06786491426538625,0.834010039138194,14M
Red drum,H_gamma,0.11997263779092444,0.7103480611900987,14M
Red drum,H_GiniSimpson,0.031372450920317985,0.9228955869044514,14M
Red drum,RAOQ,0.10421463060177183,0.747212052202049,14M
Red drum,AGI,-0.17273226712349282,0.5913796312651933,14M
Red drum,nROI,-0.3241533492790708,0.3039890298694784,14M
Red drum,aROI,-0.2935370410467286,0.35443805331836964,14M
Silver perch,File,-0.526867428511859,0.07840499176302416,14M
Silver perch,Black drum,0.4067494122626613,0.18945395769625398,14M
Silver perch,Bottlenose dolphin burst pulses,0.32125185632863257,0.30858829188342873,14M
Silver perch,Bottlenose dolphin whistles,-0.33895925073012395,0.2811212670939579,14M
Silver perch,ZCR,-0.6519186768189154,0.021609085954662887,14M
Silver perch,MEANt,-0.44413605227570496,0.14805114104144493,14M
Silver perch,VARt,0.7306808363535902,0.00695062291007216,14M
Silver perch,SKEWt,-0.34725347945108836,0.2687533608533464,14M
Silver perch,KURTt,0.648367176283488,0.022579980551036567,14M
Silver perch,LEQt,0.34300918562671856,0.2750423532634425,14M
Silver perch,BGNt,0.431644686059108,0.16117040778206926,14M
Silver perch,SNRt,-0.7130626950939375,0.009233920850101149,14M
Silver perch,MED,0.7224265704297776,0.007960124091640985,14M
Silver perch,Ht,0.017401482041866534,0.9571933256972363,14M
Silver perch,ACTtFraction,-0.9075101128494206,4.555872193893106e-05,14M
Silver perch,ACTtCount,-0.9078645848119498,4.471972772868206e-05,14M
Silver perch,ACTtMean,-0.6585138206083034,0.01988733733677132,14M
Silver perch,EVNtFraction,-0.8524982582341037,0.0004269442227961449,14M
Silver perch,EVNtMean,-0.34724944856568074,0.26875929392124775,14M
Silver perch,EVNtCount,-0.8105504705104736,0.0013849299251037948,14M
Silver perch,MEANf,0.28768513527505346,0.36455651851772314,14M
Silver perch,VARf,0.6989603233861934,0.011431409585768767,14M
Silver perch,SKEWf,0.8023320042035991,0.0016874276308083995,14M
Silver perch,KURTf,0.8140130038099067,0.0012707794384041564,14M
Silver perch,NBPEAKS,0.6744048074362837,0.016152471079066477,14M
Silver perch,LEQf,0.32470528876290566,0.3031184866219895,14M
Silver perch,ENRf,0.3247052887683791,0.30311848661336316,14M
Silver perch,BGNf,0.6240239534999587,0.030108940181105583,14M
Silver perch,SNRf,-0.8216860042236014,0.0010436334477587443,14M
Silver perch,Hf,-0.7701344931086065,0.003385070260053351,14M
Silver perch,EAS,0.6091816116653785,0.03550094183679242,14M
Silver perch,ECU,0.5444439319322252,0.0672194325837259,14M
Silver perch,ECV,0.6245409979873957,0.02993244993092479,14M
Silver perch,EPS,-0.3289836546438214,0.2964177983704304,14M
Silver perch,EPS_KURT,-0.2949347920722914,0.35204351233624714,14M
Silver perch,EPS_SKEW,-0.2741161759864377,0.38859186698931536,14M
Silver perch,ACI,0.5305010632984417,0.07599528405460095,14M
Silver perch,NDSI,-0.7960817207412294,0.0019495297533377242,14M
Silver perch,rBA,-0.79608172075255,0.001949529752836417,14M
Silver perch,AnthroEnergy,0.7177405434045747,0.008579926487725233,14M
Silver perch,BioEnergy,-0.3992973320450216,0.1984794024467599,14M
Silver perch,BI,-0.6276665823312844,0.028881369915663646,14M
Silver perch,ROU,0.6698931426080031,0.017155387322625802,14M
Silver perch,ADI,-0.7761551500607593,0.0029970813209782648,14M
Silver perch,AEI,0.747397883588237,0.005203385170406603,14M
Silver perch,LFC,-0.8235609648890665,0.000993227328299666,14M
Silver perch,MFC,-0.7468616219765905,0.005253662185297332,14M
Silver perch,HFC,-0.6647713033966536,0.018348507465739624,14M
Silver perch,ACTspFract,-0.6899952876111244,0.01301655951273119,14M
Silver perch,ACTspCount,-0.69175948908599,0.012692500438028735,14M
Silver perch,ACTspMean,0.2653784833843099,0.40448658715091357,14M
Silver perch,EVNspFract,-0.6944346544513946,0.012212555024402431,14M
