species,acoustic_index,pearson_r,pearson_p,spearman_r,spearman_p,station
Atlantic croaker,H_gamma,0.08096623103322301,8.396497352353789e-08,0.09958118506905213,4.226239664846563e-11,14M
Atlantic croaker,H_GiniSimpson,0.05828450934981845,0.00011608650934798484,0.004807603154769915,0.7507508535044352,14M
Atlantic croaker,RAOQ,0.08977980265955234,2.7826669220466696e-09,0.11631038836486086,1.2480142903400308e-14,14M
Atlantic croaker,AGI,-0.008288688504601138,0.5839260286121395,-0.00014034101776935417,0.9926016400071578,14M
Atlantic croaker,nROI,-0.1464592665378599,2.260278478516929e-22,-0.15086337962877805,1.1804567757699122e-23,14M
Atlantic croaker,aROI,-0.14320024941914666,1.896216899121901e-21,-0.14992621699655997,2.2291416318637676e-23,14M
Oyster toadfish boat whistle,File,0.05087000006725187,0.0007702872094909419,0.044446537936338064,0.0033020865182036173,14M
Oyster toadfish boat whistle,Black drum,0.0009825187602828342,0.9482401431255282,0.00889549347961068,0.5566973860715024,14M
Oyster toadfish boat whistle,Bottlenose dolphin burst pulses,-0.04262925372615729,0.004834217415720697,-0.03979836257850839,0.008523508879885094,14M
Oyster toadfish boat whistle,Bottlenose dolphin whistles,-0.0010557928153723624,0.9443860466670442,0.0192017274517396,0.20450806158746404,14M
Oyster toadfish boat whistle,ZCR,-0.11529199846403038,2.1211420023857487e-14,-0.08955290402715005,3.050666570404319e-09,14M
Oyster toadfish boat whistle,MEANt,0.03531714202709032,0.019585257033367616,0.045827122175593996,0.00244976730669035,14M
Oyster toadfish boat whistle,VARt,-0.00656365314561569,0.6645223521512319,0.23882406459192185,1.0569612291657985e-57,14M
Oyster toadfish boat whistle,SKEWt,-0.07354216924338304,1.14073998809076e-06,0.0077871684390733885,0.6068877443263279,14M
Oyster toadfish boat whistle,KURTt,-0.2003105670865314,8.977155934494483e-41,-0.18887180187653435,2.3184560549521727e-36,14M
Oyster toadfish boat whistle,LEQt,0.2204637868251362,3.1556946079772562e-49,0.2604292532453406,1.20059196345971e-68,14M
Oyster toadfish boat whistle,BGNt,0.2577044460206535,3.3015974696335e-67,0.28393786798547976,8.639464054867516e-82,14M
Oyster toadfish boat whistle,SNRt,-0.09443686205177888,4.01083578489264e-10,-0.115064506243424,2.386441609885404e-14,14M
Oyster toadfish boat whistle,MED,0.07512783175767945,6.665425194859936e-07,0.27169877600801395,8.757333980553889e-75,14M
Oyster toadfish boat whistle,Ht,0.21258017967483858,8.140767450184256e-46,0.2263192800885099,7.537823850179038e-52,14M
Oyster toadfish boat whistle,ACTtFraction,0.13482608427886178,3.5836766005372252e-19,0.11902811520701993,2.9621867117504598e-15,14M
Oyster toadfish boat whistle,ACTtCount,0.13448304492852398,4.411760619922161e-19,0.11883194854137596,3.2898706898691807e-15,14M
Oyster toadfish boat whistle,ACTtMean,-0.10541846370131355,2.8552564757400076e-12,-0.11805840250657194,4.967409270967143e-15,14M
Oyster toadfish boat whistle,EVNtFraction,-0.084697334412783,2.068266167081454e-08,-0.1349717641490144,3.2803291397500094e-19,14M
Oyster toadfish boat whistle,EVNtMean,-0.1096132845379445,3.7508907260228653e-13,-0.16591802461993577,2.474494417753638e-28,14M
Oyster toadfish boat whistle,EVNtCount,0.08338801272915836,3.40505210971108e-08,0.08961903869856641,2.970060575107669e-09,14M
Oyster toadfish boat whistle,MEANf,0.2995621897337506,2.9186234933317004e-91,0.3721915423460369,1.3917428052306975e-143,14M
Oyster toadfish boat whistle,VARf,-0.08179220217923734,6.18943679010344e-08,0.32835026328615524,2.5643384224631405e-110,14M
Oyster toadfish boat whistle,SKEWf,-0.05070309822918466,0.0008016984314046788,0.06376166481129276,2.4741189524739584e-05,14M
